,F16-207,F16-289,F16-205,F16-142,F16-254b,F16-250,F16-226,F16-190,F16-085,F16-316b,F16-103,F16-097,F16-062,F16-110,
F16-207,0,4.79583168,5.47722578,6.244997978,5.744562626,5.830951691,6.244997978,5.830951691,5.291502476,5.744562626,6.244997978,5.916079998,5.916079998,5.830951691,
F16-289,4.79583168,0,5.19615221,5.916079998,5.291502476,5.385164738,5.744562626,5.19615221,5.47722578,5.099019527,6.244997978,5.47722578,5.47722578,5.19615221,
F16-205,5.47722578,5.19615221,0,5.567764282,4.898979664,5.19615221,5.47722578,4.898979664,4.582575798,5.19615221,5.744562626,4.898979664,5.291502476,5.099019527,
F16-142,6.244997978,5.916079998,5.567764282,0,5.385164738,5.19615221,5.567764282,5.567764282,5.830951691,4.79583168,6.164413929,5.916079998,5.916079998,4.79583168,
F16-254b,5.744562626,5.291502476,4.898979664,5.385164738,0,3.741657495,3.464101553,5.291502476,5.099019527,4.472136021,5,4.582575798,5,3.605551243,
F16-250,5.830951691,5.385164738,5.19615221,5.19615221,3.741657495,0,5.099019527,5.47722578,5.47722578,4.358899117,5.099019527,4.79583168,4.79583168,3.741657495,
F16-226,6.244997978,5.744562626,5.47722578,5.567764282,3.464101553,5.099019527,0,5.656854153,5.567764282,4.690415859,5,5.099019527,5.47722578,4.242640495,
F16-190,5.830951691,5.19615221,4.898979664,5.567764282,5.291502476,5.47722578,5.656854153,0,4.472136021,5.291502476,5.830951691,5.47722578,5.830951691,5.385164738,
F16-085,5.291502476,5.47722578,4.582575798,5.830951691,5.099019527,5.47722578,5.567764282,4.472136021,0,5.385164738,5.656854153,5.656854153,5.830951691,5.291502476,
F16-316b,5.744562626,5.099019527,5.19615221,4.79583168,4.472136021,4.358899117,4.690415859,5.291502476,5.385164738,0,5.291502476,4.582575798,4.582575798,3.741657495,
F16-103,6.244997978,6.244997978,5.744562626,6.164413929,5,5.099019527,5,5.830951691,5.656854153,5.291502476,0,4.242640495,4.690415859,4.898979664,
F16-097,5.916079998,5.47722578,4.898979664,5.916079998,4.582575798,4.79583168,5.099019527,5.47722578,5.656854153,4.582575798,4.242640495,0,2.23606801,4.690415859,
F16-062,5.916079998,5.47722578,5.291502476,5.916079998,5,4.79583168,5.47722578,5.830951691,5.830951691,4.582575798,4.690415859,2.23606801,0,4.358899117,
F16-110,5.830951691,5.19615221,5.099019527,4.79583168,3.605551243,3.741657495,4.242640495,5.385164738,5.291502476,3.741657495,4.898979664,4.690415859,4.358899117,0,
,,,,,,,,,,,,,,,
