,F16-207,F16-289,F16-205,F16-142,F16-254b,F16-250,F16-226,F16-190,F16-085,F16-316b,F16-103,F16-097,F16-062,F16-110,
F16-207,0.000,11.913,0.926,2.882,46.461,44.409,41.950,7.970,4.907,29.296,10.741,10.610,9.741,18.715,F16-207
F16-289,11.913,0.000,11.891,10.517,34.548,32.500,30.116,19.407,16.475,20.912,21.532,21.333,20.769,29.251,F16-289
F16-205,0.926,11.891,0.000,2.150,46.408,44.380,41.992,8.460,5.419,29.805,10.271,10.123,9.321,19.312,F16-205
F16-142,2.882,10.517,2.150,0.000,44.849,42.863,40.602,10.581,7.555,29.488,11.071,10.886,10.264,21.456,F16-142
F16-254b,46.461,34.548,46.408,44.849,0.000,2.360,6.386,53.771,50.939,28.795,55.462,55.235,54.864,62.697,F16-254b
F16-250,44.409,32.500,44.380,42.863,2.360,0.000,4.125,51.646,48.839,26.462,53.558,53.334,52.935,60.470,F16-250
F16-226,41.950,30.116,41.992,40.602,6.386,4.125,0.000,48.940,46.217,22.439,51.482,51.267,50.794,57.400,F16-226
F16-190,7.970,19.407,8.460,10.581,53.771,51.646,48.940,0.000,3.063,33.791,9.910,9.978,8.811,10.946,F16-190
F16-085,4.907,16.475,5.419,7.555,50.939,48.839,46.217,3.063,0.000,31.905,9.473,9.460,8.318,13.906,F16-085
F16-316b,29.296,20.912,29.805,29.488,28.795,26.462,22.439,33.791,31.905,0.000,40.037,39.904,39.025,39.413,F16-316b
F16-103,10.741,21.532,10.271,11.071,55.462,53.558,51.482,9.910,9.473,40.037,0.000,0.261,1.155,18.418,F16-103
F16-097,10.610,21.333,10.123,10.886,55.235,53.334,51.267,9.978,9.460,39.904,0.261,0.000,1.173,18.600,F16-097
F16-062,9.741,20.769,9.321,10.264,54.864,52.935,50.794,8.811,8.318,39.025,1.155,1.173,0.000,17.641,F16-062
F16-110,18.715,29.251,19.312,21.456,62.697,60.470,57.400,10.946,13.906,39.413,18.418,18.600,17.641,0.000,F16-110
