ID	pop1	pop2
F15-071	0.014	0.986
F15-070	0.0201	0.9799
F15-072	0.0268	0.9732
F15-124	0.0289	0.9711
F15-171	0.004	0.996
F15-175	0.004	0.996
F15-177	0.004	0.996
F15-181	0.004	0.996
F15-168	0.0045	0.9955
F15-169	0.0049	0.9951
F15-167	0.005	0.995
F15-164	0.007	0.993
F15-172	0.009	0.991
F15-166	0.0125	0.9875
F15-025	0.013	0.987
F15-027	0.0185	0.9815
F15-069	0.0212	0.9788
F15-162	0.966	0.034
F15-026	0.9723	0.0277
F15-176	0.9895	0.0105
F15-028	0.9943	0.0057
F15-183	0.976	0.024
F15-218	0.0734	0.9266
F15-193	0.1562	0.8438
