ID,K,pop1,pop2,poploc
F15-071,K1,0.014,0.986,E680
F15-070,K1,0.0201,0.9799,E680
F15-072,K1,0.0268,0.9732,E680
F15-124,K1,0.0289,0.9711,E680
F15-171,K1,0.004,0.996,W680
F15-175,K1,0.004,0.996,W680
F15-177,K1,0.004,0.996,W680
F15-181,K1,0.004,0.996,W680
F15-168,K1,0.0045,0.9955,W680
F15-169,K1,0.0049,0.9951,W680
F15-167,K1,0.005,0.995,W680
F15-164,K1,0.007,0.993,W680
F15-172,K1,0.009,0.991,W680
F15-166,K1,0.0125,0.9875,W680
F15-025,K1,0.013,0.987,W680
F15-027,K1,0.0185,0.9815,W680
F15-069,K1,0.0212,0.9788,W680
F15-162,K2,0.966,0.034,W680
F15-026,K2,0.9723,0.0277,W680
F15-176,K2,0.9895,0.0105,W680
F15-028,K2,0.9943,0.0057,W680
F15-183,K2,0.976,0.024,S580-W680
F15-218,K1,0.0734,0.9266,S580-W680
F15-193,K1,0.1562,0.8438,S580-W680
