ID	pop1	pop2
F15-108	0.458	0.542
F15-120	0.6429	0.3571
F15-029	0.8807	0.1193
F15-109	0.8958	0.1042
F15-119	0.925	0.075
F15-107	0.9429	0.0571
F15-152	0.0449	0.9551
F15-155	0.0463	0.9537
F15-151	0.1778	0.8222
F15-150	0.1879	0.8121
F15-048	0.0318	0.9682
F15-013	0.05	0.95
F15-020	0.0566	0.9434
F15-134	0.1997	0.8003
F15-130	0.3323	0.6677
F15-015	0.3384	0.6616
F15-017	0.3924	0.6076
F15-022	0.421	0.579
F15-077	0.4364	0.5636
F15-039	0.4462	0.5538
F15-125	0.4669	0.5331
F15-049	0.4704	0.5296
F15-076	0.5687	0.4313
F15-009	0.6429	0.3571
F15-128	0.6898	0.3102
F15-019	0.752	0.248
F15-075	0.7622	0.2378
F15-092	0.7638	0.2362
F15-135	0.7664	0.2336
F15-036	0.7733	0.2267
F15-021	0.8222	0.1778
F15-088	0.8341	0.1659
F15-089	0.839	0.161
F15-014	0.8461	0.1539
F15-090	0.8532	0.1468
F15-146	0.8586	0.1414
F15-008	0.8602	0.1398
F15-243	0.8817	0.1183
F15-094	0.9018	0.0982
F15-245	0.9092	0.0908
F15-002	0.9223	0.0777
F15-082	0.9304	0.0696
F15-084	0.9304	0.0696
F15-087	0.9318	0.0682
F15-080	0.9395	0.0605
F15-006	0.9397	0.0603
F15-003	0.9456	0.0544
