Sample,Latitude,Longitude
F15-062,38.90921,-121.0956
F15-065,38.89220,-121.10627
F15-085,38.97664,-121.13725
F15-097,38.90111,-121.08691
F15-103,38.89996,-121.08953
F15-110,38.94725,-121.29358
F15-142,38.99544,-121.05325
F15-190,38.96424,-121.16889
F15-205,38.99187,-121.0777
F15-207,38.99653,-121.08658
F15-226,39.31610,-120.828
F15-250,39.31750,-120.78008
F15-254,39.32580,-120.75483
F15-289,39.08135,-121.002309
F15-316,39.25992,-121.078423
F14-006,38.75009,-121.072836
F14-008,38.75448,-121.060322
F14-009,38.76004,-121.05868
F14-013,38.81237,-121.107649
F14-014,38.81240,-121.106987
F14-015,38.81166,-121.107598
F14-019,38.47555,-121.06535
F14-020,38.47437,-121.06519
F14-021,38.45514,-121.0904
F14-022,38.45416,-121.08996
F14-029,39.04221,-121.17678
F14-032,38.36434,-121.29515
F14-049,38.34881,-121.1983
F14-080,38.38346,-121.13232
F14-082,38.38274,-121.13379
F14-084,38.38231,-121.1346
F14-087,38.38231,-121.1346
F14-088,38.38215,-121.13472
F14-089,38.38495,-121.12968
F14-090,38.38584,-121.12988
F14-092,38.38385,-121.12174
F14-107,38.59041,-121.02955
F14-108,38.58903,-121.02812
F14-109,38.58900,-121.02809
F14-119,38.50880,-121.12561
F14-120,38.50880,-121.12561
F14-124,38.35290,-121.27733
F14-128,38.41398,-121.29115
F14-146,38.43065,-121.24066
F14-150,38.31733,-121.05344
F14-151,38.31826,-121.05347
F14-152,38.31877,-121.05363
F14-155,38.32029,-121.05441
F14-158,38.32231,-121.05372
F14-242,38.58132,-120.5741
F14-245,38.56714,-120.58659
F14-246,38.56791,-120.58332
