ID	pop1	pop2	pop3
1	0.985	0.015	0
2	0.983	0.017	0
3	0.9771	0.0229	0
4	0.977	0.023	0
5	0.9611	0.0389	0
6	0.9226	0.0774	0
7	0.7134	0.2866	0
8	0.5779	0.4221	0
9	0.5268	0.4732	0
10	0.4204	0.5796	0
11	0.2395	0.7605	0
12	0.1279	0.8721	0
13	0.0822	0.9178	0
14	0.0606	0.9394	0
15	0.0426	0.9574	0
16	0.032	0.968	0
17	0.0279	0.9721	0
18	0.026	0.974	0
19	0.02	0.98	0
20	0.02	0.98	0
21	0	0	1
22	0.8428	0.1572	0
23	0.7979	0.2021	0
24	0.7536	0.2464	0
25	0.7328	0.2672	0
26	0.6044	0.3956	0
27	0.536	0.464	0
28	0	0	1
29	0.9467	0.0533	0
30	0.937	0.063	0
31	0.9155	0.0845	0
32	0.843	0.157	0
