ID	pop1	pop2	pop3
1	0.998	0.002	0
2	0.998	0.002	0
3	0.998	0.002	0
4	0.998	0.002	0
5	0.998	0.002	0
6	0.998	0.002	0
7	0.998	0.002	0
8	0.998	0.002	0
9	0.998	0.002	0
10	0.998	0.002	0
11	0.998	0.002	0
12	0.998	0.002	0
13	0.998	0.002	0
14	0.998	0.002	0
15	0.998	0.002	0
16	0.998	0.002	0
17	0.998	0.002	0
18	0.998	0.002	0
19	0.997	0.003	0
20	0.997	0.003	0
21	0.997	0.003	0
22	0.997	0.003	0
23	0.997	0.003	0
24	0.997	0.003	0
25	0.994	0.006	0
26	0.994	0.006	0
27	0.992	0.008	0
28	0.9889	0.0111	0
29	0.988	0.012	0
30	0.985	0.015	0
31	0.9763	0.0237	0
32	0.004	0.996	0
33	0.002	0.998	0
34	0.002	0.998	0
35	0.002	0.998	0
36	0.002	0.998	0
37	0.002	0.998	0
38	0	0	1
39	0.9988	0.0012	0
40	0.9987	0.0013	0
41	0.998	0.002	0
42	0.998	0.002	0
43	0.998	0.002	0
44	0.998	0.002	0
45	0.998	0.002	0
46	0.997	0.003	0
47	0.997	0.003	0
48	0.997	0.003	0
49	0.997	0.003	0
50	0.9969	0.0031	0
51	0.996	0.004	0
52	0.996	0.004	0
53	0.995	0.005	0
54	0.994	0.006	0
55	0.9938	0.0062	0
56	0.992	0.008	0
57	0.0064	0.9936	0
58	0.003	0.997	0
