Ind ID,SoH,Cluster,Lat,Long,Related,Order
F14-025,W680,K2,37.93689801,-122.141275,,
F14-026,W680,K1,37.92156198,-122.139427,,
F14-027,W680,K2,37.830316,-122.045836,,
F14-028,W680,K1,37.82616704,-122.050689,,
F14-055,W680,K1,37.83405298,-122.038444,,
F14-059,W680,K1,37.835796,-122.055361,,
F14-064,E680,K1,37.89620304,-122.017555,,
F14-069,E680,K1,37.929945,-121.992726,,
F14-070,E680,K1,37.931625,-121.990884,,
F14-071,E680,K1,37.932669,-121.987909,1,2
F14-072,E680,K1,37.933151,-121.986403,1,2
F14-124,E680,K1,37.73753503,-121.838121,,
F14-162,W680,K1,37.70159301,-121.970344,,
F14-164,W680,K1,37.707641,-121.971971,,
F14-165,W680,K1,37.70743101,-121.972001,,
F14-166,W680,K1,37.70749899,-121.971946,,
F14-168,W680,K2,37.71286902,-121.97434,4,1
F14-169,W680,K2,37.71685797,-121.976064,2,2
F14-171,W680,K2,37.717914,-121.976285,3,1
F14-172,W680,K2,37.720858,-121.971499,,
F14-175,W680,K2,37.71741101,-121.976166,4,1
F14-176,W680,K1,37.71778702,-121.976271,,
F14-177,W680,K2,37.718662,-121.975847,,
F14-179,W680,K2,37.71840703,-121.97625,,
F14-180,W680,K2,37.712935,-121.981881,2,2
F14-181,W680,K2,37.718374,-121.976285,3,1
F14-183,PLS,K1,37.60170696,-121.887561,,
F14-191,PLS,K1,37.62505299,-121.90395,,
F14-218,PLS,K1,37.642776,-121.927397,,
F14-219,PLS,K1,37.641686,-121.925938,,
