Pop,Locus,DF,ChiSq,Prob,Signif,,,,,,,
E,CXX_402,1,0.08,0.777,ns,,,,,,,
E,AHT_142,21,23.909,0.297,ns,,,,,,,
E,REN105L03,36,25.452,0.905,ns,,,,,,,
E,CPH18,28,27.987,0.465,ns,,,,,,,
E,CPH8,21,54.782,0,***,,,,,,,
E,REN54P11,55,63.683,0.197,ns,,,,,,,
E,RF2001Fam,15,15.719,0.401,ns,,,,,,,
E,RFcph 2,6,44.712,0,***,,,,,,,
E,fh2088,28,73.94,0,***,,,,,,,
E,REN162C04,45,48.569,0.331,ns,,,,,,,
E,AHTh171,55,94.492,0.001,***,,,,,,,
E,INU055,28,34.288,0.192,ns,,,,,,,
E,fh2010,10,42.241,0,***,,,,,,,
E,fh2004,15,37.545,0.001,**,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Pop,Locus,DF,ChiSq,Prob,Signif,,,,,,,
W,CXX_402,3,25.84,0,***,,,,,,,
W,AHT_142,28,14.113,0.986,ns,,,,,,,
W,REN105L03,36,53.796,0.029,*,,,,,,,
W,CPH18,15,21.951,0.109,ns,,,,,,,
W,CPH8,10,45.727,0,***,,,,,,,
W,REN54P11,36,30.919,0.709,ns,,,,,,,
W,RF2001Fam,15,36.75,0.001,**,,,,,,,
W,RFcph 2,6,23.28,0.001,***,,,,,,,
W,fh2088,28,58.186,0.001,***,,,,,,,
W,REN162C04,28,10.934,0.998,ns,,,,,,,
W,AHTh171,21,29.83,0.095,ns,,,,,,,
W,INU055,21,25.446,0.228,ns,,,,,,,
W,fh2010,10,24.244,0.007,**,,,,,,,
W,fh2004,6,23.513,0.001,***,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Pop,Locus,DF,ChiSq,Prob,Signif,,,,,,,
K2,CXX_402,Monomorphic,,,,,,,,,,
K2,AHT_142,15,25.755,0.041,*,,,,,,,
K2,REN105L03,21,20.444,0.493,ns,,,,,,,
K2,CPH18,3,5.298,0.151,ns,,,,,,,
K2,CPH8,15,12.889,0.611,ns,,,,,,,
K2,REN54P11,21,24,0.293,ns,,,,,,,
K2,RF2001Fam,10,6.617,0.761,ns,,,,,,,
K2,RFcph 2,3,8.066,0.045,*,,,,,,,
K2,fh2088,10,8.4,0.59,ns,,,,,,,
K2,REN162C04,15,19.111,0.209,ns,,,,,,,
K2,AHTh171,15,20.563,0.151,ns,,,,,,,
K2,INU055,10,8.082,0.621,ns,,,,,,,
K2,fh2010,1,0.454,0.501,ns,,,,,,,
K2,fh2004,Monomorphic,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Pop,Locus,DF,ChiSq,Prob,Signif,,,,,,,
K1,CXX_402,3,57.537,0,***,,,,,,,
K1,AHT_142,28,19.194,0.892,ns,,,,,,,
K1,REN105L03,28,28.354,0.446,ns,,,,,,,
K1,CPH18,28,21.637,0.798,ns,,,,,,,
K1,CPH8,10,24.88,0.006,**,,,,,,,
K1,REN54P11,28,27.469,0.493,ns,,,,,,,
K1,RF2001Fam,10,11.975,0.287,ns,,,,,,,
K1,RFcph 2,3,8.366,0.039,*,,,,,,,
K1,fh2088,10,14.254,0.162,ns,,,,,,,
K1,REN162C04,55,69.67,0.088,ns,,,,,,,
K1,AHTh171,28,20.398,0.85,ns,,,,,,,
K1,INU055,21,36.501,0.019,*,,,,,,,
K1,fh2010,3,1.046,0.79,ns,,,,,,,
K1,fh2004,15,10.929,0.758,ns,,,,,,,
