ID	pop1	pop2
1	0.9963	0.0037
2	0.002	0.998
3	0.9863	0.0137
4	0.998	0.002
5	0.997	0.003
6	0.9956	0.0044
7	0.9896	0.0104
8	0.9964	0.0036
9	0.996	0.004
10	0.998	0.002
11	0.9979	0.0021
12	0.998	0.002
13	0.998	0.002
14	0.999	0.001
15	0.998	0.002
16	0.998	0.002
17	0.9979	0.0021
18	0.9973	0.0027
19	0.9971	0.0029
20	0.997	0.003
21	0.998	0.002
22	0.996	0.004
23	0.998	0.002
24	0.002	0.998
25	0.002	0.998
26	0.998	0.002
27	0.998	0.002
28	0.9939	0.0061
29	0.997	0.003
30	0.9961	0.0039
31	0.998	0.002
32	0.006	0.994
33	0.998	0.002
34	0.9974	0.0026
35	0.9959	0.0041
36	0.9986	0.0014
37	0.9944	0.0056
38	0.9806	0.0194
39	0.998	0.002
40	0.9979	0.0021
41	0.004	0.996
42	0.998	0.002
43	0.998	0.002
44	0.9945	0.0055
45	0.9973	0.0027
46	0.998	0.002
47	0.9982	0.0018
48	0.998	0.002
49	0.998	0.002
50	0.9949	0.0051
51	0.994	0.006
52	0.002	0.998
53	0.003	0.997
54	0.9963	0.0037
55	0.997	0.003
56	0.995	0.005
57	0.998	0.002
58	0.998	0.002
59	0.997	0.003
60	0.9976	0.0024
61	0.998	0.002
62	0.9981	0.0019
63	0.9648	0.0352
64	0.9949	0.0051
