ID	pop1	pop2
F16-034	0.002	0.998
F16-160	0.002	0.998
F16-258	0.002	0.998
F16-158	0.002	0.998
F16-040	0.0029	0.9971
F16-263	0.003	0.997
F16-222	0.0045	0.9955
F16-187	0.0071	0.9929
F16-135	0.9705	0.0295
F16-130	0.9826	0.0174
F16-168	0.9846	0.0154
F16-038	0.9855	0.0145
F16-215b	0.9906	0.0094
F16-230	0.9919	0.0081
F16-100	0.9948	0.0052
F16-252b	0.995	0.005
F16-066	0.9951	0.0049
F16-264	0.9959	0.0041
F16-095	0.9959	0.0041
F16-249	0.9964	0.0036
F16-171	0.997	0.003
F16-177	0.997	0.003
F16-196	0.997	0.003
F16-146	0.997	0.003
F16-086	0.997	0.003
F16-063	0.997	0.003
F16-224	0.9971	0.0029
F16-124	0.9972	0.0028
F16-119b	0.9976	0.0024
F16-136	0.9979	0.0021
F16-279	0.9979	0.0021
F16-227	0.9979	0.0021
F16-121	0.998	0.002
F16-128	0.998	0.002
F16-140	0.998	0.002
F16-184	0.998	0.002
F16-219	0.998	0.002
F16-220	0.998	0.002
F16-237b	0.998	0.002
F16-244	0.998	0.002
F16-272b	0.998	0.002
F16-277b	0.998	0.002
F16-285b	0.998	0.002
F16-193	0.998	0.002
F16-156	0.998	0.002
F16-161	0.998	0.002
F16-243	0.998	0.002
F16-302	0.998	0.002
F16-152	0.998	0.002
F16-106	0.998	0.002
F16-048	0.998	0.002
F16-241	0.9982	0.0018
F16-275b	0.9982	0.0018
F16-166	0.9982	0.0018
F16-188	0.9983	0.0017
F16-126	0.999	0.001
F16-180	0.999	0.001
F16-197	0.999	0.001
