ID	pop1	pop2
F16-272b	0.4884	0.5116
F16-277b	0.4891	0.5109
F16-140	0.4908	0.5092
F16-279	0.4935	0.5065
F16-130	0.4951	0.5049
F16-275b	0.4952	0.5048
F16-086	0.4953	0.5047
F16-138	0.4953	0.5047
F16-180	0.4955	0.5045
F16-161	0.4961	0.5039
F16-224	0.4964	0.5036
F16-244	0.4965	0.5035
F16-177	0.4974	0.5026
F16-215b	0.4981	0.5019
F16-227	0.4989	0.5011
F16-100	0.499	0.501
F16-063	0.4992	0.5008
F16-264	0.4998	0.5002
F16-171	0.5	0.5
F16-196	0.5001	0.4999
F16-156	0.5002	0.4998
F16-048	0.5003	0.4997
F16-219	0.5009	0.4991
F16-193	0.501	0.499
F16-237b	0.501	0.499
F16-095	0.5012	0.4988
F16-146	0.5012	0.4988
F16-188	0.5012	0.4988
F16-066	0.5013	0.4987
F16-124	0.5014	0.4986
F16-220	0.5017	0.4983
F16-285b	0.5017	0.4983
F16-106	0.5024	0.4976
F16-184	0.503	0.497
F16-197	0.5031	0.4969
F16-241	0.5032	0.4968
F16-121	0.5035	0.4965
F16-302	0.5035	0.4965
F16-243	0.504	0.496
F16-249	0.5043	0.4957
F16-119b	0.5049	0.4951
F16-168	0.5052	0.4948
F16-038	0.5053	0.4947
F16-166	0.5055	0.4945
F16-126	0.5057	0.4943
F16-252b	0.5057	0.4943
F16-152	0.5067	0.4933
F16-230	0.5068	0.4932
F16-135	0.508	0.492
F16-128	0.5083	0.4917
