ID	pop1	pop2
F16-034	0.998	0.002
F16-160	0.998	0.002
F16-258	0.998	0.002
F16-158	0.998	0.002
F16-263	0.997	0.003
F16-040	0.997	0.003
F16-222	0.9959	0.0041
F16-187	0.993	0.007
F16-081	0.0285	0.9715
F16-130	0.0186	0.9814
F16-038	0.0156	0.9844
F16-215b	0.0108	0.9892
F16-165	0.0083	0.9917
F16-230	0.0079	0.9921
F16-168	0.006	0.994
F16-252b	0.0054	0.9946
F16-066	0.0052	0.9948
F16-100	0.0044	0.9956
F16-249	0.004	0.996
F16-264	0.004	0.996
F16-086	0.0033	0.9967
F16-196	0.0031	0.9969
F16-115	0.003	0.997
F16-177	0.003	0.997
F16-124	0.003	0.997
F16-224	0.0029	0.9971
F16-171	0.0028	0.9972
F16-119b	0.0026	0.9974
F16-063	0.0022	0.9978
F16-128	0.0021	0.9979
F16-279	0.0021	0.9979
F16-150	0.0021	0.9979
F16-049	0.002	0.998
F16-095	0.002	0.998
F16-121	0.002	0.998
F16-136	0.002	0.998
F16-140	0.002	0.998
F16-146	0.002	0.998
F16-152	0.002	0.998
F16-184	0.002	0.998
F16-219	0.002	0.998
F16-220	0.002	0.998
F16-227	0.002	0.998
F16-237b	0.002	0.998
F16-244	0.002	0.998
F16-272b	0.002	0.998
F16-277b	0.002	0.998
F16-285b	0.002	0.998
F16-193	0.002	0.998
F16-156	0.002	0.998
F16-161	0.002	0.998
F16-243	0.002	0.998
F16-094	0.002	0.998
F16-235	0.002	0.998
F16-048	0.0019	0.9981
F16-188	0.0019	0.9981
F16-275b	0.0019	0.9981
F16-302	0.0019	0.9981
F16-166	0.0017	0.9983
F16-241	0.0017	0.9983
F16-197	0.0012	0.9988
F16-126	0.001	0.999
F16-180	0.001	0.999
