ID	pop1	pop2
F16-241	0.9981	0.0019
F16-048	0.998	0.002
F16-106	0.998	0.002
F16-126	0.998	0.002
F16-130	0.998	0.002
F16-135	0.998	0.002
F16-140	0.998	0.002
F16-156	0.998	0.002
F16-161	0.998	0.002
F16-166	0.998	0.002
F16-180	0.998	0.002
F16-184	0.998	0.002
F16-188	0.998	0.002
F16-197	0.998	0.002
F16-220	0.998	0.002
F16-237b	0.998	0.002
F16-243	0.998	0.002
F16-275b	0.998	0.002
F16-285b	0.998	0.002
F16-302	0.998	0.002
F16-219	0.9978	0.0022
F16-272b	0.9978	0.0022
F16-277b	0.9978	0.0022
F16-193	0.9976	0.0024
F16-121	0.9974	0.0026
F16-152	0.9971	0.0029
F16-119b	0.997	0.003
F16-128	0.997	0.003
F16-227	0.997	0.003
F16-244	0.997	0.003
F16-264	0.997	0.003
F16-279	0.997	0.003
F16-146	0.9969	0.0031
F16-224	0.9968	0.0032
F16-196	0.9964	0.0036
F16-063	0.996	0.004
F16-066	0.996	0.004
F16-124	0.996	0.004
F16-138	0.996	0.004
F16-171	0.996	0.004
F16-177	0.996	0.004
F16-249	0.995	0.005
F16-095	0.9941	0.0059
F16-252b	0.9928	0.0072
F16-100	0.9922	0.0078
F16-230	0.9881	0.0119
F16-038	0.9875	0.0125
F16-215b	0.9863	0.0137
F16-168	0.978	0.022
F16-187	0.0079	0.9921
F16-222	0.0051	0.9949
F16-263	0.004	0.996
F16-040	0.003	0.997
F16-034	0.002	0.998
F16-160	0.002	0.998
F16-258	0.002	0.998
F16-158	0.002	0.998
