Culvert,lat,long,Type
Arroyo Seco,37.702573,-121.747254,Culvert
Arroyo Las Positas,37.711478,-121.718064,Culvert
Arroyo Las Positas,37.699754,-121.784697,Bridge over Creek
Collier Canyon Creek,37.700886,-121.796974,Culvert
Cottonwood Creek,37.701217,-121.829556,Culvert
Rancho Drain,37.701376,-121.865195,Culvert
Chabot Canal,37.701689,-121.904624,Culvert
Alamo Canal,37.701736,-121.919886,Bridge over Creek
San Lorenzon Creek,37.697322,-122.043099,Bridge over Creek
San Lorenzon Creek,37.695524,-122.044928,Bridge over Creek
CROW CREEK,37.693475,-122.059812,Bridge over Creek
Lake Chabot Canal,37.69076,-122.083077,Culvert
SAN LEANDRO CREEK,37.730823,-122.138877,Bridge over Creek
ALAMEDA CREEK,37.57813,-121.877621,Bridge over Creek
ARROYO DE LA LAGUNA,37.66177,-121.906508,Bridge over Creek
BIG CANYON CREEK,37.706318,-121.92607,Bridge over Creek
SAN RAMON CREEK,37.781249,-121.97722,Bridge over Creek
SAN RAMON CREEK,37.821278,-121.993357,Culvert
GREEN VALLEY CREEK,37.823963,-121.994122,Culvert
LAS TRAMPAS CREEK,37.89229,-122.063615,Bridge over Creek
Contra Costa Canal,37.921984,-122.061518,Bridge over Creek
GRAYSON CREEK,37.990969,-122.067689,Bridge over Creek
East Martinez Drain,38.001318,-122.078024,Culvert
