Dist,Route,Break,County,Shift,Postmile,,Description,Back_AADT,Ahead_AADT,Binned AADT
4,580, ,ALA, ,9.683, ,VASCO ROAD ,149000,179000,3
4,580, ,ALA, ,10.689, ,FIRST STREET,179000,180000,
4,580, ,ALA, ,12.53, ,NORTH LIVERMORE AVENUE ,180000,194000,
4,580, ,ALA, ,13.219, ,"LIVERMORE, PORTOLA AVENUE",194000,192000,
4,580, ,ALA, ,14.974, ,JCT. RTE. 84/AIRPORT,192000,205000,4
4,580, ,ALA, ,16.703, ,EL CHARRO ROAD ,205000,214000,
4,580, ,ALA, ,17.947, ,TASSAJARA ROAD ,214000,203000,
4,580, ,ALA, ,18.821, ,HACIENDA DRIVE,203000,222000,
4,580, ,ALA, ,19.859, ,HOPYARD ROAD ,222000,219000,4
4,580, ,ALA, ,20.726, ,"PLEASANTON, JCT. RTE. 680",219000,194000,3
4,580, ,ALA,R,21.427, ,SAN RAMON ROAD ,194000,193000,
4,580, ,ALA,R,26.228, ,PALOMARES/EDEN CANYON ROAD ,193000,192000,
4,580, ,ALA,R,28.745, ,CROW CANYON ROAD/CENTER STREET,192000,196000,3
,,,,,,,,,,
4,680, ,ALA,R,11.042, ,JCT. RTE. 84 WEST,141000,140000,2
4,680, ,ALA,R,11.845, ,JCT. RTE. 84 EAST,140000,115000,
4,680, ,ALA,R,12.443, ,SUNOL ROAD ,115000,120000,
4,680, ,ALA,R,15.261, ,PLEASANTON/SUNOL ROADS ,120000,117000,
4,680, ,ALA,R,16.75, ,"PLEASANTON, BERNAL AVENUE ",117000,134000,
4,680, ,ALA,R,19.3, ,STONERIDGE DRIVE ,134000,144000,2
4,680, ,ALA,R,20.057, ,"PLEASANTON, JCT. RTE. 580",144000,170000,3
4,680, ,ALA,R,21.879, ,ALAMEDA/CONTRA COSTA COUNTY LINE,170000, ,
4,680, ,CC,R,0, ,ALAMEDA/CONTRA COSTA COUNTY LINE, ,170000,
4,680, ,CC,R,0.01, ,"SAN RAMON, ALCOSTA BOULEVARD",170000,171000,
4,680, ,CC,R,2.885, ,BOLLINGER CANYON ROAD,171000,160000,
4,680, ,CC,R,4.182, ,CROW CANYON ROAD ,160000,166000,
4,680, ,CC,R,6.764, ,"DANVILLE, SYCAMORE VALLEY ROAD",166000,181000,
4,680, ,CC,R,7.553, ,"DANVILLE, DIABLO ROAD ",181000,179000,
4,680, ,CC,R,8.175, ,EL CERRO BOULEVARD ,179000,180000,
4,680, ,CC,R,8.751, ,"DANVILLE, EL PINTADO ROAD",180000,183000,
4,680, ,CC,R,10.371, ,"ALAMO, STONE VALLEY ROAD ",183000,184000,
4,680, ,CC,R,11.28, ,LIVORNA ROAD ,184000,186000,
4,680, ,CC,R,12.611, ,"WALNUT CREEK, RUDGEAR ROAD",186000,183000,
4,680, ,CC, ,13.082, ,"WALNUT CREEK, SOUTH MAIN STREET",183000,184000,
4,680, ,CC, ,13.93, ,"WALNUT CREEK ROAD, OLYMPIC BOULEVARD",184000,165000,3
4,680, ,CC, ,14.383, ,"WALNUT CREEK, JCT. RTE. 24 WEST",165000,240000,4
4,680, ,CC, ,14.846, ,"WALNUT CREEK, YGNACIO VALLEY ROAD ",240000,240000,
4,680, ,CC, ,15.606, ,"WALNUT CREEK, NORTH MAIN STREET",240000,260000,
4,680, ,CC, ,16.403, ,GEARY ROAD ,260000,250000,
4,680, ,CC, ,16.89, ,"PLEASANT HILL, OAK PARK BOULEVARD ",250000,256000,
4,680, ,CC,R,17.29, ,"PLEASANT HILL, CONTRA COSTA BOULEVARD",256000,252000,
4,680, ,CC,R,17.702, ,"PLEASANT HILL, MONUMENT BOULEVARD ",252000,247000,4
4,680, ,CC,R,18.707, ,"CONCORD, JCT. RTE. 242 NORTH",247000,140000,2
4,680, ,CC,R,19.236, ,"CONCORD, WILLOW PASS ROAD",140000,140000,
4,680, ,CC, ,19.855, ,"PLEASANT HILL, CONCORD AVENUE ",140000,150000,
4,680, ,CC, ,21.191, ,JCT. RTE. 4,150000,130000,2
