"","LINEARID","FULLNAME","RTTYP","MTFCC"
"194","1104486304657","Castro Valley Fwy W","M","S1100"
"210","1104486304524","Castro Valley Fwy W","M","S1100"
"214","1104486077086","Arthur H Breed Fwy","M","S1100"
"215","1104474712228","State Rte 185","S","S1200"
"222","1104474416170","Isabel Ave","M","S1200"
"223","1105598253253","Foothill Blvd","M","S1200"
"225","1102157951468","14th St","M","S1200"
"227","1104485736713","Airway Blvd","M","S1200"
"234","1104486304536","State Rte 238","S","S1200"
"238","1104475062458","Davis St","M","S1200"
"245","1105045804017","I- 680","I","S1100"
"248","1104486282276","Castro Valley Fwy","M","S1100"
"283","1104475034834","Vallecitos Rd","M","S1200"
"309","1104474838139","State Rte 242","S","S1200"
"313","1104486329968","Castro Valley Fwy","M","S1100"
"1000","1104486077044","Arthur H Breed Fwy","M","S1100"
"1001","1105083274138","I- 580","I","S1100"
"1002","1104486090991","Macarthur Fwy","M","S1100"
"1007","1104474153664","I- 680","I","S1100"
"1008","1104989403278","State Rte 84","S","S1200"
"1010","1104486329698","I- 238","I","S1100"
"1012","1104988756169","Kitty Hawk Rd","M","S1200"
"1014","1104474503094","State Rte 84","S","S1200"
"1043","1104474478760","Kitty Hawk Rd","M","S1200"
"1054","1104485736714","Airway Blvd","M","S1200"
"1281","1104471685244","Sinclair Fwy","M","S1100"
"1830","1104485866364","Nimitz Fwy","M","S1100"
"1838","110167282992","Niles Canyon Rd","M","S1200"
"1839","1104474365307","Vineyard Ave","M","S1200"
"1840","1104474711090","State Rte 92","S","S1200"
"1843","1104474576438","State Rte 84","S","S1200"
"1848","1104474460107","Kitty Hawk Rd","M","S1200"
"1849","1104474478761","Kitty Hawk Rd","M","S1200"
"1856","1104475037860","State Rte 112","S","S1200"
"1882","1104474838033","State Rte 242","S","S1200"
"1891","1104474462811","State Rte 84","S","S1200"
"2672","1104474748623","Macarthur Fwy","M","S1100"
"2674","1102852356423","I- 680","I","S1100"
"2677","1104486329691","Vallecitos Rd","M","S1200"
"2678","1104474503091","State Rte 84","S","S1200"
"2679","1104257610569","Isabel Ave","M","S1200"
"2681","1104474503092","State Rte 84","S","S1200"
"2682","1104475062388","State Rte 112","S","S1200"
"2685","1104486519366","State Rte 84","S","S1100"
"2695","1104486158805","I- I- 880","I","S1100"
"2703","1104989403277","State Rte 84","S","S1200"
"2716","1104259565573","San Mateo Brg","M","S1200"
"2731","1104474576661","Airway Blvd","M","S1200"
"2732","1104988721544","State Rte 84","S","S1200"
"3460","1104486562173","State Rte 84","S","S1200"
"3461","1104486135933","I- 880","I","S1100"
"3462","1104486099811","Nimitz Fwy","M","S1100"
"3465","1104474679934","J Arthur Younger Fwy","M","S1200"
"3466","1104474365376","State Rte 84","S","S1200"
"3467","1104486304535","State Rte 238","S","S1200"
"3469","1104492838635","I- 238","I","S1100"
"3475","1104486304204","Mission Blvd","M","S1200"
"3478","1104474441687","State Rte 84","S","S1200"
"3479","1104989403452","Vallecitos Rd","M","S1200"
"3519","1104989403453","Vallecitos Rd","M","S1200"
"3527","1103366031101","International Blvd","M","S1200"
"3544","110167283175","Castro Valley Fwy","M","S1100"
"3549","1104474576439","State Rte 84","S","S1200"
"3552","1104483845344","State Rte 24","S","S1200"
"4322","1104474749718","Mission Blvd","M","S1200"
"4323","110167237405","Niles Blvd","M","S1200"
"4334","1104474139486","Sinclair Fwy","M","S1100"
"4335","1104262097908","Sinclair Fwy","M","S1100"
"4337","1104474628489","Paloma Rd","M","S1200"
"4338","1104486329779","State Rte 84","S","S1200"
"4344","110167255973","Jackson St","M","S1200"
"4349","1104475062221","State Rte 61","S","S1200"
"4351","1104475062460","Davis St","M","S1200"
"4352","1105045745677","I- 680","I","S1100"
"4357","1102159798715","14th St","M","S1200"
"4372","1104474503093","State Rte 84","S","S1200"
"4394","1104988269778","State Rte 84","S","S1200"
"5142","1104486304534","State Rte 238","S","S1200"
"5152","1104474711089","State Rte 92","S","S1200"
"5154","1104474748845","State Rte 185","S","S1200"
"5156","1104486329780","State Rte 84","S","S1200"
"5157","1104989403454","Vallecitos Rd","M","S1200"
"5158","1104989403300","State Rte 84","S","S1200"
"5159","1104486329689","Vallecitos Rd","M","S1200"
"5160","1104474748605","International Blvd","M","S1200"
"5161","1104474748957","Jackson St","M","S1200"
"5162","1102406976596","Isabel Ave","M","S1200"
"5175","1104475062502","Davis","M","S1200"
"5176","1104475037901","State Rte 112","S","S1200"
"5185","1104474678520","J Arthur Younger Fwy","M","S1200"
"5217","1102157088686","14th St","M","S1200"
"5230","1104988721547","State Rte 84","S","S1200"
"5250","1104485736712","Airway Blvd","M","S1200"
"6006","1104486182696","I- 880","I","S1100"
"6009","1105048137587","I- 580","I","S1100"
"6010","1104474748608","International Blvd","M","S1200"
"6016","1104474678399","J Atthur Younger (Toll Road)","M","S1200"
