"","LINEARID","FULLNAME","RTTYP","MTFCC"
"19","1104485962251","I- 80 Bus","I","S1200"
"35","1104485962252","I- 80 Bus","I","S1200"
"36","1104269379329","I- 80 Bus","I","S1200"
"37","110873835036","I- 80 Bus","I","S1200"
"45","1102649272041","I- 80 Bus","I","S1200"
"215","1104742568191","State Rte 49","S","S1200"
"231","1104257672572","State Rte 49","S","S1200"
"263","1104492407272","I- 80","I","S1100"
"266","1104492838830","I- 80","I","S1100"
"277","1104259366625","State Rte 20","S","S1200"
"480","110687613241","State Rte 20","S","S1200"
"491","110687613249","State Rte 20","S","S1200"
"542","1104275969068","State Rte 20","S","S1200"
"552","1104271365590","State Rte 49","S","S1200"
"561","1104690799061","I- 80","I","S1100"
"568","1104690703745","State Rte 49","S","S1200"
"605","1104257607938","US Hwy 50","U","S1200"
"649","110873835035","I- 80","I","S1100"
"812","110434220835","I- 80","I","S1100"
"926","1102216603824","I- 80","I","S1100"
"938","110750310897","State Rte 49","S","S1200"
"947","1104259461187","State Rte 49","S","S1200"
"950","110750310900","State Rte 49","S","S1200"
"969","110750310905","State Rte 49","S","S1200"
"997","1104485866688","I- 80","I","S1100"
"1010","1104690703767","State Rte 49","S","S1200"
"1012","1104977742838","State Rte 49","S","S1200"
"1065","1105082771975","I- 80","I","S1100"
"1109","1105048137686","I- 80","I","S1100"
"1292","110687613245","State Rte 20","S","S1200"
"1293","110687613256","State Rte 20","S","S1200"
"1294","110687613254","State Rte 20","S","S1200"
"1307","110687613242","State Rte 20","S","S1200"
"1365","1102649242328","State Rte 20","S","S1200"
"1366","1104271370497","State Rte 20","S","S1200"
"1371","1104690703000","Grass Valley Hwy","M","S1200"
"1378","110809145902","State Rte 49","S","S1200"
"1391","1104690703837","Grass Valley Hwy","M","S1200"
"1507","1105083258338","I- 80","I","S1100"
"1651","110696911177","I- 80","I","S1100"
"1754","1104270230828","US Hwy 50","U","S1200"
"1767","1104493144780","State Rte 20","S","S1200"
"1804","110750310904","State Rte 49","S","S1200"
"1846","1104690703766","State Rte 49","S","S1200"
"2118","110687613252","State Rte 20","S","S1200"
"2119","110687613258","State Rte 20","S","S1200"
"2120","110687613259","State Rte 20","S","S1200"
"2121","110687613261","State Rte 20","S","S1200"
"2151","110687613253","State Rte 20","S","S1200"
"2194","1104991522409","State Rte 20","S","S1200"
"2197","1104280179710","State Rte 20","S","S1200"
"2203","1104690703747","State Rte 49","S","S1200"
"2212","1104690703834","Grass Valley Hwy","M","S1200"
"2213","1102217391200","State Rte 20","S","S1200"
"2217","110417296653","State Rte 49","S","S1200"
"2241","1104271363537","State Rte 49","S","S1200"
"2497","110696911179","I- 80","I","S1100"
"2526","1104312766853","State Rte 20","S","S1200"
"2527","1104258528077","State Rte 20","S","S1200"
"2597","110750310907","State Rte 49","S","S1200"
"2612","1104333639611","I- 80","I","S1100"
"2631","1104258407398","State Rte 49","S","S1200"
"2642","110750310898","State Rte 49","S","S1200"
"2664","1104485798063","I- 80","I","S1100"
"2703","1104259366618","State Rte 20","S","S1200"
"2773","1105048134647","I- 80","I","S1100"
"2931","110687613244","State Rte 20","S","S1200"
"2935","110687613250","State Rte 20","S","S1200"
"2977","110764085735","I- 80","I","S1100"
"2996","1104690702998","State Rte 49","S","S1200"
"3002","1104375160843","State Rte 49","S","S1200"
"3004","1104259293262","State Rte 174","S","S1200"
"3005","1104275959816","State Rte 20","S","S1200"
"3006","1104277912928","State Rte 20","S","S1200"
"3111","1105083258339","I- 80","I","S1100"
"3193","1105088962604","I- 80","I","S1100"
"3207","110874160836","Sacramento Fwy","M","S1200"
"3263","1102216603825","I- 80","I","S1100"
"3373","1102444518394","US Hwy 50","U","S1200"
"3375","110750310906","State Rte 49","S","S1200"
"3401","1104493254563","State Rte 20","S","S1200"
"3412","110750310901","State Rte 49","S","S1200"
"3456","1104485818235","I- 80","I","S1100"
