,LINEARID,FULLNAME,RTTYP,MTFCC
561,1.10E+12,I- 80,I,S1100
3193,1.11E+12,I- 80,I,S1100
3802,1.10E+12,I- 80,I,S1100
3832,1.10E+12,I- 80,I,S1100
4290,1.11E+12,I- 80,I,S1100
4663,1.10E+12,I- 80,I,S1100
35,1.10E+12,I- 80 Bus,I,S1200
36,1.10E+12,I- 80 Bus,I,S1200
3004,1.10E+12,State Rte 174,S,S1200
3808,1.10E+12,State Rte 174,S,S1200
542,1.10E+12,State Rte 20,S,S1200
1365,1.10E+12,State Rte 20,S,S1200
1366,1.10E+12,State Rte 20,S,S1200
2213,1.10E+12,State Rte 20,S,S1200
3807,1.11E+11,State Rte 20,S,S1200
4710,1.10E+12,State Rte 20,S,S1200
6352,1.10E+12,State Rte 20,S,S1200
568,1.10E+12,State Rte 49,S,S1200
2203,1.10E+12,State Rte 49,S,S1200
2241,1.10E+12,State Rte 49,S,S1200
2996,1.10E+12,State Rte 49,S,S1200
4656,1.10E+12,State Rte 49,S,S1200
605,1.10E+12,US Hwy 50,U,S1200
3499,1.10E+12,US Hwy 50,U,S1200
3507,1.10E+12,US Hwy 50,U,S1200
6372,1.10469E+12,Grass Valley Hwy,M,S1200
