Ind ID,,,X,Y,,,,,,,Lat,Long,Long
F14-025,,16,99,230,,,C,U,21,,37.93689801,-122.141275,-121.089978
F14-026,,17,106,287,,,D,B,2,,37.92156198,-122.139427,-121.068587
F14-027,,18,449,618,,,Q,G,7,,37.830316,-122.045836,-121.0685
F14-028,,19,431,633,,,P,O,15,,37.82616704,-122.050689,-121.072836
F14-055,,27,476,606,,,R,H,8,,37.83405298,-122.038444,-121.060322
F14-059,,28,415,600,,,O,Y,25,,37.835796,-122.055361,-121.05868
F14-064,,29,551,379,,,U,E,5,,37.89620304,-122.017555,-121.107649
F14-069,,30,642,254,,,X,R,18,,37.929945,-121.992726,-121.106987
F14-070,,31,649,248,,,X,Y,25,,37.931625,-121.990884,-121.107598
F14-071,,32,661,245,,,Y,K,11,,37.932669,-121.987909,-121.107592
F14-072,,33,668,245,,,Y,R,18,,37.933151,-121.986403,-121.103739
F14-124,,52,1208,958,,,AT,A,1,,37.73753503,-121.838121,-121.108927
F14-162,,62,725,1089,,,AA,W,23,,37.70159301,-121.970344,-121.108657
F14-164,,63,721,1065,,,AA,S,19,,37.707641,-121.971971,-121.150665
F14-165,,64,723,1068,,,AA,U,21,,37.70743101,-121.972001,-121.149943
F14-166,,65,721,1067,,,AA,S,19,,37.70749899,-121.971946,-121.049259
F14-168,,67,710,1047,,,AA,H,8,,37.71286902,-121.97434,-121.401094
F14-169,,68,706,1033,,,AA,D,4,,37.71685797,-121.976064,-121.094024
F14-171,,69,702,1028,,,Z,Z,26,,37.717914,-121.976285,-121.107404
F14-172,,70,721,1017,,,AA,S,19,,37.720858,-121.971499,-121.105249
F14-175,,71,706,1031,,,AA,D,4,,37.71741101,-121.976166,-121.095271
F14-176,,72,702,1030,,,Z,Z,26,,37.71778702,-121.976271,-121.460156
F14-177,,73,708,1025,,,AA,F,6,,37.718662,-121.975847,-121.220179
F14-179,,74,705,1027,,,AA,C,3,,37.71840703,-121.97625,-121.192106
F14-180,,75,683,1047,,,Z,G,7,,37.712935,-121.981881,-121.220639
F14-181,,76,705,1025,,,AA,C,3,,37.718374,-121.976285,-121.220636
F14-183,,77,1030,1453,,,AM,P,16,,37.60170696,-121.887561,-121.220529
F14-191,,78,970,1366,,,AK,H,8,,37.62505299,-121.90395,-121.222981
F14-218,,79,883,1304,,,AG,Y,25,,37.642776,-121.927397,-121.223188
F14-219,,80,887,1307,,,AH,C,3,,37.641686,-121.925938,-121.224329
