Sample,Sp_fin,Collection_date,Lat,Long,Extraction,Re_extract,SPID_PCR_1,Band_1,SPID_PCR_2,Band_2,SPID_PCR_3,Band_3,Clean_1,Plate_used1,Well_source1,Sequence_1,Well_1,Sp_call1,Seq_Comp,Plate_used2,Well_source2,Sequence_2,Well_2,Sp_call2
F16-001,Gf,,,,20160509,,20160519,Yes,20161110,Yes,,,,201161110A,1A,20170120,A01,Gf,Yes,,,,,
F16-002,Gf,,,,20160509,,20160519,Yes,20161110,Yes,,,,201161110A,1B,20170120,A02,Gf,Yes,,,,,
F16-003,Gf,,,,20160512,,20160526,Yes,,,,,,20160526,1A,20170120,A03,Gf,Yes,,,,,
F16-004,Gf,,,,20160512,,20160519,Yes,20161110,Yes,,,,201161110A,1C,20170120,B01,Gf,Yes,,,,,
F16-005,Gf,,,,20160509,,20160519,Yes,20161110,Yes,,,,201161110A,1D,20170120,B02,Gf,Yes,,,,,
F16-006,Cy,,,,20160519,,20160526,Yes,,,,,,20160526,1B,20170120,B03,Cy,Yes,,,,,
F16-007,Gf,,,,20160519,,20160526,Yes,,,,,,20160526,1C,20170120,C03,Gf,Yes,,,,,
F16-008,Gf,,,,20160519,,20160526,Yes,20170127,Yes,,,,20160526,2D,20170120_Fail,C02,Fail,Yes,20170127A,A1,20170130,A1,Gf
F16-009,Gf,,,,20160519,,20160526,Yes,20170127,Yes,,,,20160526,1E,20170120_Fail,C01,Fail,Yes,20170127A,B1,20170130,B1,Gf
F16-010,Gf,,,,20160502,,20160526,Yes,20170127,Yes,,,,20160526,1F,20170120_Fail,D01,Fail,Yes,20170127A,C1,20170130,C1,Gf
F16-011,Cy,,,,20160523,,20161110,Yes,,,,,,201161110A,2E,20170120,D02,Cy,Yes,,,,,
F16-012b,Gf,,,,,,20170127,Yes,,,,,,20170127A,D1,20170130,D1,Gf,Yes,,,,,
F16-013,Gf,,,,20160603,,20160826,Yes,,,,,,20160826,1B,20170120,D03,Gf,Yes,,,,,
F16-014,Gf,,,,20160523,,20160526,Yes,20161110,Yes,,,,201161110A,1F,20170120,E01,Gf,Yes,,,,,
F16-015,Gf,,,,20160523,,20160826,Yes,,,,,,20160826,1C,20170120,E02,Gf,Yes,,,,,
F16-016b,,,,,20170205,,2170205,No,,,,,,,,,,,No,,,,,
F16-017,Gf,,,,20160812,,20160826,Yes,20170127,No,,,,20160826,1E,20170120,F01,Gf,Yes,,,,,
