Sample,genotype,lat,long,color
F16-110,"Coyote, K1",38.94725,-121.29358,tan3
F16-254b,"Coyote, K1",39.3258,-120.75483,tan3
F16-226,"Coyote, K1",39.3161,-120.828,tan3
F16-062,"Coyote, K1",38.90921,-121.0956,tan3
F16-250,"Coyote, K1",39.3175,-120.78008,tan3
F16-097,"Coyote, K1",38.90111,-121.08691,tan3
F16-103,"Coyote, K1",38.89996,-121.08953,tan3
F16-142,"Coyote, K2",38.995444,-121.05325,navajowhite2
F16-205,"Coyote, K2",38.99187,-121.0777,navajowhite2
F16-207,"Coyote, K2",38.99653,-121.08658,navajowhite2
F16-289,"Coyote, K2",39.08134698,-121.002309,navajowhite2
F16-316b,"Coyote, K2",39.25991597,-121.078423,navajowhite2
F16-085,"Coyote, K2",38.97664,-121.13725,navajowhite2
F16-190,"Coyote, K2",38.96424,-121.16889,navajowhite2
F16-065,"Coyote, No Genotype",38.8922,-121.10627,deepskyblue
F16-178,"Coyote, No Genotype",38.96919,-121.18403,deepskyblue
F16-116,"Coyote, No Genotype",38.89559,-121.13514,deepskyblue
F16-060,"Coyote, No Genotype",38.90176,-121.10211,deepskyblue
F16-221,"Coyote, No Genotype",38.99071,-121.07887,deepskyblue
F16-286,"Coyote, No Genotype",39.09721602,-121.000389,deepskyblue
F16-109,"Coyote, No Genotype",38.92118,-121.1104,deepskyblue
F16-267,"Coyote, No Genotype",39.06207,-121.11436,deepskyblue
F16-268,"Coyote, No Genotype",39.06207,-121.11436,deepskyblue
F16-225,"Coyote, No Genotype",39.31688,-120.81556,deepskyblue
F16-238b,"Coyote, No Genotype",39.31435,-120.79846,deepskyblue
F16-069b,"Coyote, No Genotype",38.92125,-121.11077,deepskyblue
F16-021,"Coyote, No Genotype",39.31834,-120.84274,deepskyblue
F16-114,"Coyote, No Genotype",38.88474,-121.11968,deepskyblue
F16-174,"Coyote, No Genotype",38.96328,-121.16855,deepskyblue
F16-192,"Coyote, No Genotype",39.19088,-120.99982,deepskyblue
F16-297,"Coyote, No Genotype",39.07102601,-121.073152,deepskyblue
F16-303,"Coyote, No Genotype",39.07021598,-121.080471,deepskyblue
F16-011,"Coyote, No Genotype",39.31803,-121.1462,deepskyblue
F16-072b,"Coyote, No Genotype",38.933905,-121.184994,deepskyblue
F16-145,"Coyote, No Genotype",38.998832,-121.052693,deepskyblue
F16-228,"Coyote, No Genotype",39.31178,-120.82503,deepskyblue
F16-300,"Coyote, No Genotype",39.08609801,-121.073169,deepskyblue
F16-006,"Coyote, No Genotype",39.319,-121.13688,deepskyblue
F16-025,"Coyote, No Genotype",39.32144,-120.83208,deepskyblue
F16-027,"Coyote, No Genotype",39.31907,-120.8327,deepskyblue
F16-083,"Coyote, No Genotype",38.96319,-121.14574,deepskyblue
F16-084b,"Coyote, No Genotype",38.96319,-121.14574,deepskyblue
F16-098,"Coyote, No Genotype",38.90155,-121.08862,deepskyblue
F16-099,"Coyote, No Genotype",38.90167,-121.08872,deepskyblue
F16-108,"Coyote, No Genotype",38.9018,-121.10214,deepskyblue
F16-131,"Coyote, No Genotype",38.93461,-121.17824,deepskyblue
F16-137,"Coyote, No Genotype",39.1247,-121.1016,deepskyblue
F16-143,"Coyote, No Genotype",38.996574,-121.058486,deepskyblue
F16-179,"Coyote, No Genotype",38.96919,-121.18403,deepskyblue
F16-189,"Coyote, No Genotype",38.96832,-121.19409,deepskyblue
F16-242,"Coyote, No Genotype",39.24443,-120.89095,deepskyblue
F16-246,"Coyote, No Genotype",39.24655,-120.87147,deepskyblue
F16-293,"Coyote, No Genotype",39.07006603,-121.082127,deepskyblue
F16-299b,"Coyote, No Genotype",39.08733803,-121.074532,deepskyblue
F16-304,"Coyote, No Genotype",39.07109398,-121.08304,deepskyblue
F16-305,"Coyote, No Genotype",39.33609699,-120.967484,deepskyblue
F16-309,"Coyote, No Genotype",39.31510502,-120.936852,deepskyblue
F16-310,"Coyote, No Genotype",39.31436699,-120.93799,deepskyblue
F16-257,"Coyote, No Genotype",39.3284,-120.76036,deepskyblue
F16-101,"Coyote, No Genotype",38.90086,-121.08896,deepskyblue
F16-253,"Coyote, No Genotype",39.32547,-120.75457,deepskyblue
F16-314,"Coyote, No Genotype",39.26309899,-121.065675,deepskyblue
F16-034,"Gray Fox, K1",39.13608,-121.04546,darkorange3
F16-160,"Gray Fox, K1",38.99155,-121.07152,darkorange3
F16-187,"Gray Fox, K1",38.96917,-121.19759,darkorange3
F16-222,"Gray Fox, K1",39.31669,-120.81465,darkorange3
F16-258,"Gray Fox, K1",39.32802,-120.76041,darkorange3
F16-263,"Gray Fox, K1",39.05651,-121.11108,darkorange3
F16-040,"Gray Fox, K1",39.30117,-120.91896,darkorange3
F16-158,"Gray Fox, K1",38.99254,-121.07275,darkorange3
F16-048,"Gray Fox, K2",39.00009,-121.13532,dimgrey
F16-049,"Gray Fox, K2",39.00009,-121.13532,dimgrey
F16-063,"Gray Fox, K2",38.89212,-121.10624,dimgrey
F16-066,"Gray Fox, K2",38.8922,-121.10624,dimgrey
F16-081,"Gray Fox, K2",38.96327,-121.14464,dimgrey
F16-086,"Gray Fox, K2",38.97282,-121.13525,dimgrey
F16-087,"Gray Fox, K2",38.98433,-121.11286,dimgrey
F16-095,"Gray Fox, K2",38.973913,-121.13528,dimgrey
F16-105,"Gray Fox, K2",38.91504,-121.08819,dimgrey
F16-106,"Gray Fox, K2",38.89308,-121.10735,dimgrey
F16-115,"Gray Fox, K2",38.89559,-121.13514,dimgrey
F16-119b,"Gray Fox, K2",38.89398,-121.13244,dimgrey
F16-121,"Gray Fox, K2",38.89363,-121.13145,dimgrey
F16-126,"Gray Fox, K2",38.97564,-121.13702,dimgrey
F16-128,"Gray Fox, K2",38.95054,-121.12597,dimgrey
F16-135,"Gray Fox, K2",39.12271,-121.10601,dimgrey
F16-136,"Gray Fox, K2",39.1247,-121.1016,dimgrey
F16-138,"Gray Fox, K2",39.12332,-121.10886,dimgrey
F16-139,"Gray Fox, K2",38.992,-121.05205,dimgrey
F16-140,"Gray Fox, K2",38.992907,-121.050195,dimgrey
F16-146,"Gray Fox, K2",38.98933,-121.06999,dimgrey
F16-148,"Gray Fox, K2",38.89308,-121.10735,dimgrey
F16-151,"Gray Fox, K2",38.97995,-121.07121,dimgrey
F16-152,"Gray Fox, K2",38.98054,-121.07294,dimgrey
F16-153,"Gray Fox, K2",38.9864,-121.07432,dimgrey
F16-166,"Gray Fox, K2",39.16623,-120.95308,dimgrey
F16-167,"Gray Fox, K2",39.16557,-120.95284,dimgrey
F16-171,"Gray Fox, K2",39.16568,-120.9688,dimgrey
F16-177,"Gray Fox, K2",38.96603,-121.17032,dimgrey
F16-180,"Gray Fox, K2",38.96603,-121.17032,dimgrey
F16-184,"Gray Fox, K2",38.97648,-121.20338,dimgrey
F16-188,"Gray Fox, K2",38.96889,-121.19733,dimgrey
F16-196,"Gray Fox, K2",39.17745,-120.99669,dimgrey
F16-197,"Gray Fox, K2",39.17721,-120.99743,dimgrey
F16-212,"Gray Fox, K2",39.00313,-121.05651,dimgrey
F16-215b,"Gray Fox, K2",39.00099,-121.06932,dimgrey
F16-219,"Gray Fox, K2",38.99071,-121.07887,dimgrey
F16-220,"Gray Fox, K2",38.99071,-121.07887,dimgrey
F16-224,"Gray Fox, K2",39.31688,-120.81556,dimgrey
F16-227,"Gray Fox, K2",39.31178,-120.82503,dimgrey
F16-230,"Gray Fox, K2",39.3095,-120.82089,dimgrey
F16-232,"Gray Fox, K2",39.31086,-120.81734,dimgrey
F16-234,"Gray Fox, K2",39.30968,-120.80936,dimgrey
F16-237b,"Gray Fox, K2",39.31275,-120.80121,dimgrey
F16-241,"Gray Fox, K2",39.24273,-120.91092,dimgrey
F16-244,"Gray Fox, K2",39.24497,-120.88875,dimgrey
F16-249,"Gray Fox, K2",39.3177,-120.7806,dimgrey
F16-264,"Gray Fox, K2",39.06398,-121.11411,dimgrey
F16-272b,"Gray Fox, K2",39.06225803,-121.006035,dimgrey
F16-275b,"Gray Fox, K2",39.06815998,-121.010203,dimgrey
F16-277b,"Gray Fox, K2",39.0759,-121.004588,dimgrey
F16-279,"Gray Fox, K2",39.08783399,-121.001564,dimgrey
F16-285b,"Gray Fox, K2",39.09721602,-121.000389,dimgrey
F16-193,"Gray Fox, K2",39.18757,-120.99966,dimgrey
F16-038,"Gray Fox, K2",39.31054,-120.91349,dimgrey
F16-100,"Gray Fox, K2",38.90069,-121.08891,dimgrey
F16-154,"Gray Fox, K2",38.99131,-121.07522,dimgrey
