"Dist","Route","Break","County","Shift","Postmile","X","Description","Back_Peak_Hour","Back_Peak_Month","Back_AADT","Ahead_Peak.Hour","Ahead_Peak.Month","Ahead_AADT"
"03","049"," ","PLA"," ","0"," ","EL DORADO/PLACER COUNTY LINE"," "," "," ","780","9000","8600"
"03","049"," ","PLA"," ","2.36"," ","AUBURN, BORLAND AVENUE","880","9800","8900","1300","15000","14000"
"03","049"," ","PLA"," ","3.208"," ","AUBURN, JCT. RTE. 80","1100","11000","9000","2700","31500","30000"
"03","049"," ","PLA"," ","3.78"," ","AUBURN, PALM AVENUE","2800","34000","32700","2900","35500","34000"
"03","049"," ","PLA"," ","5.21"," ","LUTHER ROAD","3100","37500","36000","3400","42000","40000"
"03","049"," ","PLA"," ","5.86"," ","ATWOOD ROAD","3400","40000","38000","3500","41000","39000"
"03","049"," ","PLA"," ","5.99"," ","COTTAGE DRIVE","3500","41000","39000","3500","41000","39000"
"03","049"," ","PLA"," ","6.38"," ","AUBURN, BELL ROAD","3100","38000","36200","2900","35000","33000"
"03","049"," ","PLA"," ","7.427"," ","DRY CREEK ROAD","2850","33500","31500","2850","32500","30500"
"03","049"," ","PLA","R","8.973"," ","LORENSEN RD","2800","32000","30000","2750","31000","29200"
"03","049"," ","PLA"," ","11.373"," ","PLACER/NEVADA COUNTY LINE","2700","31000","29400"," "," "," "
"03","049"," ","NEV"," ","0"," ","PLACER/NEVADA COUNTY LINE"," "," "," ","2700","30300","29400"
"03","049"," ","NEV"," ","2.194"," ","WOLF/COMBIE ROADS","2700","31300","29900","2050","22800","21900"
"03","049"," ","NEV"," ","3.614"," ","SOUTH WOLF CREEK BRIDGE","2050","22800","21900","2050","22800","21900"
"03","049"," ","NEV"," ","9.22"," ","ALTA SIERRA DRIVE","2050","23100","22100","2200","24700","23400"
"03","049"," ","NEV"," ","10.71"," ","LOWER LA BARR MEADOWS ROAD","2200","24700","23400","2300","25500","24100"
"03","049"," ","NEV","R","13.663"," ","SOUTH GRASS VALLEY","2500","27500","26000","2850","34000","31000"
"03","049"," ","NEV","R","14.475"," ","NEVADA CITY, JCT. RTE. 20","2850","34000","31000","1150","12400","11100"
"03","049"," ","NEV"," ","15.81"," ","WEST BROAD STREET","700","8500","7500","650","7000","6300"
"03","049"," ","NEV"," ","17.54"," ","NEWTOWN/INDIAN FLAT ROADS","600","6500","5800","540","5500","5000"
"03","049"," ","NEV","R","25.69"," ","TYLER FOOTE CROSSING ROAD","470","4400","4000","400","3100","2800"
"03","049"," ","NEV"," ","27.52"," ","PLEASANT VALLEY ROAD","400","3100","2800","350","2900","2500"
"03","049"," ","NEV","R","32.637"," ","NEVADA/YUBA COUNTY LINE","280","2700","1950"," "," "," "
