"","LINEARID","FULLNAME","RTTYP","MTFCC"
"1","1104742568191","State Rte 49","S","S1200"
"2","1104257672572","State Rte 49","S","S1200"
"3","1104271365590","State Rte 49","S","S1200"
"4","1104690703745","State Rte 49","S","S1200"
"5","110750310897","State Rte 49","S","S1200"
"6","1104259461187","State Rte 49","S","S1200"
"7","110750310900","State Rte 49","S","S1200"
"8","110750310905","State Rte 49","S","S1200"
"9","1104690703767","State Rte 49","S","S1200"
"10","1104977742838","State Rte 49","S","S1200"
"11","110809145902","State Rte 49","S","S1200"
"12","110750310904","State Rte 49","S","S1200"
"13","1104690703766","State Rte 49","S","S1200"
"14","1104690703747","State Rte 49","S","S1200"
"15","110417296653","State Rte 49","S","S1200"
"16","1104271363537","State Rte 49","S","S1200"
"17","110750310907","State Rte 49","S","S1200"
"18","1104258407398","State Rte 49","S","S1200"
"19","110750310898","State Rte 49","S","S1200"
"20","1104690702998","State Rte 49","S","S1200"
"21","1104375160843","State Rte 49","S","S1200"
"22","110750310906","State Rte 49","S","S1200"
"23","110750310901","State Rte 49","S","S1200"
"24","1104690703765","State Rte 49","S","S1200"
"25","110205753311","State Rte 49","S","S1200"
"26","1104271367512","State Rte 49","S","S1200"
"27","110434220807","State Rte 49","S","S1200"
"28","1104259461188","State Rte 49","S","S1200"
"29","110750310902","State Rte 49","S","S1200"
"30","110750310899","State Rte 49","S","S1200"
"31","1104977742837","State Rte 49","S","S1200"
"32","110205753310","State Rte 49","S","S1200"
"33","1104258038277","State Rte 49","S","S1200"
"34","1104275836066","State Rte 49","S","S1200"
"35","1104259461189","State Rte 49","S","S1200"
"36","110750310896","State Rte 49","S","S1200"
"37","1104259743356","State Rte 49","S","S1200"
"38","1104259743357","State Rte 49","S","S1200"
"39","110510048673","State Rte 49","S","S1200"
"40","1104275836217","State Rte 49","S","S1200"
"41","1104257617511","State Rte 49","S","S1200"
"42","110205753306","State Rte 49","S","S1200"
"43","1104271368225","State Rte 49","S","S1200"
"44","1104690703750","State Rte 49","S","S1200"
"45","110750310908","State Rte 49","S","S1200"
