"Sample","Sp_fin","Sp_call1","Sp_call2"
"F16-006","Cy","Cy",""
"F16-011","Cy","Cy",""
"F16-021","Cy","Cy",""
"F16-025","Cy","Cy",""
"F16-027","Cy","Cy",""
"F16-060","Cy","Fail","Cy"
"F16-062","Cy","Fail","Cy"
"F16-065","Cy","Cy",""
"F16-069b","Cy","Fail","Cy"
"F16-072b","Cy","","Cy"
"F16-083","Cy","Fail","Cy"
"F16-084b","Cy","","Cy"
"F16-085","Cy","Cy",""
"F16-097","Cy","Cy",""
"F16-098","Cy","Cy",""
"F16-099","Cy","Cy",""
"F16-101","Cy","Fail","Cy"
"F16-103","Cy","Cy",""
"F16-108","Cy","Cy",""
"F16-109","Cy","Cy","Cy"
"F16-110","Cy","Cy","Cy"
"F16-114","Cy","Cy",""
"F16-116","Cy","Cy",""
"F16-137","Cy","Cy",""
"F16-142","Cy","Cy","Cy"
"F16-143","Cy","Cy","Cy"
"F16-145","Cy","Cy","Cy"
"F16-174","Cy","","Cy"
"F16-178","Cy","Cy",""
"F16-179","Cy","Cy",""
"F16-189","Cy","Cy",""
"F16-190","Cy","Cy",""
"F16-192","Cy","Cy",""
"F16-205","Cy","Cy",""
"F16-207","Cy","Cy",""
"F16-221","Cy","Cy",""
"F16-225","Cy","Cy",""
"F16-226","Cy","Fail","Cy"
"F16-228","Cy","Cy",""
"F16-238b","Cy","","Cy"
"F16-242","Cy","","Cy"
"F16-246","Cy","Cy",""
"F16-250","Cy","","Cy"
"F16-253","Cy","Cy",""
"F16-254b","Cy","","Cy"
"F16-257","Cy","Cy",""
"F16-267","Cy","","Cy"
"F16-268","Cy","","Cy"
"F16-286","Cy","Cy",""
"F16-289","Cy","Cy",""
"F16-293","Cy","Cy",""
"F16-297","Cy","Cy",""
"F16-299b","Cy","","Cy"
"F16-300","Cy","Cy",""
"F16-303","Cy","Cy",""
"F16-304","Cy","Cy",""
"F16-305","Cy","Cy",""
"F16-309","Cy","Fail","Cy"
"F16-310","Cy","Cy",""
"F16-314","Cy","Cy",""
"F16-316b","Cy","","Cy"
