"","District","Route","County","Postmile","Descriptn","Back_pk_h","Back_pk_m","Back_AADT","Ahead_pk_h","Ahead_pk_m","Ahead_AADT","Lat_S_or_W","Lon_S_or_W","AbsPM_S_W","Lat_N_or_E","Lon_N_or_E","AbsPM_N_E"
"1",3,"49","PLA","0","EL DORADO/PLACER COUNTY LINE",0,0,0,780,9000,8600,38.91544622,-121.0404656,170.92300415,38.91544622,-121.0404656,170.92300415
"2",3,"49","PLA","2.36","AUBURN, BORLAND AVENUE",880,9800,8900,1300,15000,14000,38.904094,-121.0656297,173.283004761,38.904094,-121.0656297,173.283004761
"3",3,"49","PLA","3.208","AUBURN, JCT. RTE. 80",1100,11000,9000,2700,31500,30000,38.90026221,-121.0747025,173.567001343,38.90026221,-121.0747025,173.567001343
"4",3,"49","PLA","3.78","AUBURN, PALM AVENUE",2800,34000,32700,2900,35500,34000,38.90839189,-121.0769486,174.139007568,38.90839189,-121.0769486,174.139007568
"5",3,"49","PLA","5.21","LUTHER ROAD",3100,37500,36000,3400,42000,40000,38.92736337,-121.0866329,175.569000244,38.92736337,-121.0866329,175.569000244
"6",3,"49","PLA","5.86","ATWOOD ROAD",3400,40000,38000,3500,41000,39000,38.93508251,-121.0932096,176.218994141,38.93508251,-121.0932096,176.218994141
"7",3,"49","PLA","5.99","COTTAGE DRIVE",3500,41000,39000,3500,41000,39000,38.93654396,-121.0946134,176.348999023,38.93654396,-121.0946134,176.348999023
"8",3,"49","PLA","6.38","AUBURN, BELL ROAD",3100,38000,36200,2900,35000,33000,38.94204946,-121.0970979,176.738998413,38.94204946,-121.0970979,176.738998413
"9",3,"49","PLA","7.427","DRY CREEK ROAD",2850,33500,31500,2850,32500,30500,38.95663359,-121.1013101,177.785995483,38.95663359,-121.1013101,177.785995483
"10",3,"49","PLA","R8.973","LORENSEN RD",2800,32000,30000,2750,31000,29200,38.9781966,-121.1083141,179.332000732,38.9781966,-121.1083141,179.332000732
"11",3,"49","PLA","11.373","PLACER/NEVADA COUNTY LINE",2700,31000,29400,0,0,0,39.01194112,-121.1042745,181.731994629,39.01194112,-121.1042745,181.731994629
"12",3,"49","NEV","0","PLACER/NEVADA COUNTY LINE",0,0,0,2700,30300,29400,39.01194112,-121.1042745,181.731994629,39.01194112,-121.1042745,181.731994629
"13",3,"49","NEV","2.194","WOLF/COMBIE ROADS",2700,31300,29900,2050,22800,21900,39.04260347,-121.0946225,183.925994873,39.04260347,-121.0946225,183.925994873
"14",3,"49","NEV","3.614","SOUTH WOLF CREEK BRIDGE",2050,22800,21900,2050,22800,21900,39.06215503,-121.0887108,185.345993042,39.06215503,-121.0887108,185.345993042
"15",3,"49","NEV","9.22","ALTA SIERRA DRIVE",2050,23100,22100,2200,24700,23400,39.14109938,-121.0711612,190.95199585,39.14109938,-121.0711612,190.95199585
"16",3,"49","NEV","10.71","LOWER LA BARR MEADOWS ROAD",2200,24700,23400,2300,25500,24100,39.1602248,-121.059142,192.442001343,39.1602248,-121.059142,192.442001343
"17",3,"49","NEV","R13.663","SOUTH GRASS VALLEY",2500,27500,26000,2850,34000,31000,39.20046033,-121.0594205,195.395004272,39.20046033,-121.0594205,195.395004272
"18",3,"49","NEV","R14.475","NEVADA CITY, JCT. RTE. 20",2850,34000,31000,1150,12400,11100,39.20953291,-121.0680461,196.207000732,39.20953291,-121.0680461,196.207000732
"19",3,"49","NEV","15.81","WEST BROAD STREET",700,8500,7500,650,7000,6300,39.26762724,-121.0279098,196.955001831,39.26762724,-121.0279098,196.955001831
"20",3,"49","NEV","17.54","NEWTOWN/INDIAN FLAT ROADS",600,6500,5800,540,5500,5000,39.26904101,-121.0571704,198.684997559,39.26904101,-121.0571704,198.684997559
"21",3,"49","NEV","R25.69","TYLER FOOTE CROSSING ROAD",470,4400,4000,400,3100,2800,39.32873785,-121.1112179,206.671005249,39.32873785,-121.1112179,206.671005249
"22",3,"49","NEV","27.52","PLEASANT VALLEY ROAD",400,3100,2800,350,2900,2500,39.34298309,-121.120145,207.791000366,39.34298309,-121.120145,207.791000366
"23",3,"49","NEV","R32.637","NEVADA/YUBA COUNTY LINE",280,2700,1950,0,0,0,39.39401573,-121.0842599,212.908004761,39.39401573,-121.0842599,212.908004761
